feature,mi_score
ATSC8se,0.12753882978096565
AATSC7p,0.12616967854867456
ETA_epsilon_5,0.1261428181414339
AATS3pe,0.12567201089640623
GATS3c,0.12440579011730657
ATS6dv,0.12261487870593024
ATSC5s,0.12221191323401248
GATS2dv,0.12002714543838122
ATSC6dv,0.11971854863683484
ATS5dv,0.1179614882375315
AATSC8d,0.11662769571732756
AATS8Z,0.11604982258616392
ATSC2c,0.1154991813264652
ATS1s,0.11534435975604262
MATS3dv,0.11310828688775842
ATS8Z,0.1130734976746881
piPC7,0.11246127427441399
ATSC2se,0.11053874710465683
ATSC6s,0.10914069051072062
TpiPC10,0.10807366840729804
BCUTdv-1h,0.10404977685481231
ZMIC1,0.10388526764051553
AATSC8c,0.10345841038196557
ATSC6se,0.10287054899863612
ATSC5c,0.10284284066012006
AATS5Z,0.10236181160054292
JGI4,0.10171427788036747
AATSC7d,0.09975871701970629
JGI3,0.09887056549541118
AATS5v,0.09696837995379459
AATS3v,0.09673677581996865
Kier1,0.09624668568892858
MATS7c,0.09552923974570993
GATS5se,0.09549983254566685
SpAbs_DzZ,0.09500575429957792
MATS2c,0.09477266636161863
ATSC8s,0.09396060463724831
BCUTd-1l,0.09325823245253595
RotRatio,0.09232383023622637
piPC1,0.09225578438350945
GATS4c,0.0919651919398472
AATSC8s,0.0895094346836447
Xp-5d,0.08814589984966847
GATS5s,0.0877322578483124
ZMIC2,0.08655084311489247
AATS3i,0.08605544597647041
GATS2se,0.08543669845306923
GATS2Z,0.08527689413375716
AATSC6c,0.08268510217524394
ATSC3se,0.08063344902926017
AATSC6d,0.07883171924694876
AATSC7s,0.07736189326858067
MATS5s,0.07610954852203511
AATS0d,0.07553646417271453
MATS8c,0.0749420075605598
AATSC5Z,0.07311174320419278
ATS1dv,0.07052059813263556
GATS5d,0.06915283081088486
ATSC5se,0.06871627110897816
VSA_EState7,0.06866044607529842
EState_VSA3,0.06852316407702475
MATS6s,0.06759121489100606
AATS1i,0.06601152981569447
MATS5c,0.06385930696893372
AATSC1c,0.06339634937533223
GATS5Z,0.06149188838407449
AATSC4c,0.06110357861249671
ATSC5Z,0.060257270402254814
MATS5se,0.05912736562979859
ATSC8c,0.058983149599471485
AATS3se,0.05659577800612681
GATS4d,0.05269566758831612
AATSC8dv,0.044410424646629476
MATS3d,0.04318006527251805
ATSC1p,0.041793311831835656
AATSC3se,0.04079208062751727
NsOH,0.038096057814174245
EState_VSA4,0.03689888325624313
MATS4c,0.036187531406159934
AATSC7v,0.03453754938917131
nC,0.03326392293368974
AMID_C,0.03201890304148636
SpMAD_A,0.03149989992184388
ATSC6pe,0.02723079354646485
ATSC8v,0.020068446236506166
AATSC3dv,0.019650340727472404
AATSC8v,0.019222995385355546
GATS7v,0.018552418707846297
MATS2s,0.016991282665174356
ATSC6c,0.011719398905694955
GATS6s,0.009321658869368754
ETA_shape_y,0.0055694187040171705
GATS6v,0.002569920180989893
ATSC8pe,0.0
TopoShapeIndex,0.0
MATS8s,0.0
VR2_A,0.0
JGI5,0.0
MATS3se,0.0
GGI5,0.0
AATSC6v,0.0
GATS5dv,0.0
MATS1s,0.0
AATSC7Z,0.0
ATSC3c,0.0
AATSC6Z,0.0
MATS3c,0.0
ATSC8d,0.0
Xp-7d,0.0
ATSC6Z,0.0
MATS7s,0.0
BertzCT,0.0
ATSC8Z,0.0
AATS8d,0.0
